video_id,title,publish_time,views,likes,comments,like_to_view_ratio,year
OQM9x6E3ojo,How to Lie with Data | Biased Data Collection,2025-04-29 12:00:46+00:00,1818,73,9,0.0401540154015401,2025
z39SB95JbDo,How to Lie with Data | Correlations,2025-04-22 12:01:50+00:00,2822,122,13,0.0432317505315379,2025
W5CQb7klLCs,How to Lie with Data | Cherry Picking Data,2025-04-15 12:00:53+00:00,3418,146,8,0.0427150380339379,2025
xb5-UX-jYw0,How to Lie with Data | Averages,2025-04-08 12:01:32+00:00,3903,207,14,0.0530361260568793,2025
V3ouFOBQP0k,How to Lie with Data | Percentages and Baseline Numbers,2025-04-01 12:00:46+00:00,4099,205,9,0.0500121980970968,2025
oi9W142ELN0,1 Million YouTube Play Button Unboxing!,2025-03-25 12:01:10+00:00,2842,227,78,0.0798733286418015,2025
5n52mlp9Ym0,Maven Analytics + Analyst Builder Lifetime Access (Ends March 31st),2025-03-24 12:00:07+00:00,8067,248,40,0.0307425313003594,2025
hgp91KvbJV4,How to Lie with Data | Misleading Graphs,2025-03-18 12:01:07+00:00,4919,272,23,0.0552957918276072,2025
1ql4kNv0_qY,Where to find the Best Healthcare Data,2025-03-11 12:00:02+00:00,6647,367,23,0.0552128779900707,2025
r5512UY3MTc,1 Million Subscriber Livestream!! Giveaways + Chat,2025-03-05 17:07:10+00:00,9924,675,68,0.0680169286577992,2025
XuOcmjIbFGg,"Taking a look at Real Healthcare Data | ICD11, CPT, HCPCS, Claims",2025-03-04 13:00:44+00:00,7573,369,27,0.0487257361679651,2025
Ka2mDrKEAhg,How to Become a Healthcare Analyst in 2025,2025-02-25 13:00:21+00:00,22472,1157,78,0.0514862940548237,2025
k8nBWL6K884,What is Healthcare Analytics?,2025-02-18 13:01:11+00:00,23261,1217,74,0.0523193327887881,2025
WpX2F2BS3Qc,What is Data Cleaning? | Data Fundamentals for Beginners,2025-02-11 13:00:47+00:00,16754,646,25,0.0385579563089411,2025
cd_jj0IRmaA,What is Data Collection? | Data Fundamentals for Beginners,2025-02-04 13:00:52+00:00,10371,450,14,0.0433902227364767,2025
OcG0B4ny1cE,What are File Types? | Data Fundamentals for Beginners,2025-01-28 13:00:34+00:00,7819,317,9,0.0405422688323315,2025
hXpt8zj_ajc,What are Data Types? | Data Fundamentals for Beginners,2025-01-21 13:00:55+00:00,8835,375,18,0.0424448217317487,2025
ItZlTixh6Bs,What are KPIs and Metrics? | Data Fundamental for Beginners,2025-01-14 13:00:34+00:00,14972,800,31,0.0534330750734704,2025
PEWMgtu-1e4,What is Data? | Data Fundamentals for Beginners,2025-01-07 13:00:35+00:00,14895,761,32,0.0510909701242027,2025
hCmEfxy-BXg,Is Big Tech Overrated in 2025? | Alex The Analyst Show Episode 28,2024-12-31 13:01:01+00:00,8594,296,67,0.0344426343960902,2024
TtCBz1lutsY,Most Commonly Asked Questions by Aspiring Data Analysts,2024-12-24 13:00:39+00:00,14367,704,36,0.0490011832672095,2024
Ihmq-qeA5Pc,My Career Progression 7+ Years | Recreational Therapist to Data Analyst | Alex The Analyst Show 27,2024-12-17 13:30:12+00:00,8205,366,123,0.0446069469835466,2024
wQQR60KtnFY,"Ultimate Data Analyst Bootcamp [24 Hours!] for FREE | SQL, Excel, Tableau, Power BI, Python, Azure",2024-12-10 05:00:49+00:00,465425,21339,751,0.0458484181124778,2024
oHte3qFa-oY,"Learn AWS for Analytics in Under 2 Hours | S3, Athena, Glue, Glue DataBrew, Quicksight",2024-12-03 13:00:56+00:00,17218,570,36,0.0331048902311534,2024
P7p2OZj9ewU,"Learn Azure for Analytics in Under 90 Minutes | Azure Synapse Analytics, SQL Databases, ADF + More",2024-11-26 13:00:27+00:00,13319,336,22,0.0252271191530895,2024
I0vQ_VLZTWg,"Learn Power BI in Under 3 Hours | Formatting, Visualizations, Dashboards + Full Project",2024-11-19 13:00:31+00:00,212481,3803,143,0.017898070886338,2024
tnz72ywhCoo,Coding with R and AI Now on Analyst Builder!,2024-11-12 13:01:10+00:00,5733,182,16,0.0317460317460317,2024
j8FSP8XuFyk,"Learn Tableau in Under 2 hours | Dashboards, Relationships, Visualizations + Mini Project",2024-11-05 13:01:16+00:00,83871,1683,61,0.020066530743642,2024
zXnQNytHCPM,"Learn Excel in Under 3 Hours | Pivot Tables, Lookups, Data Cleaning",2024-10-29 12:01:19+00:00,55526,1488,67,0.0267982566725497,2024
osA1QpBcxRs,Nobody cares... so just do it!,2024-10-24 12:17:57+00:00,17228,1753,58,0.1017529602971906,2024
Mdq1WWSdUtw,"Learn Pandas in Under 3 Hours | Filtering, Joins, Indexing, Data Cleaning, Visualizations",2024-10-22 12:00:28+00:00,53638,1388,46,0.0258771766285096,2024
CZt2BUpgjgw,Free Data Analyst Bootcamp 2024,2024-10-17 11:52:50+00:00,11014,964,39,0.0875249682222625,2024
t1fQBD4B7xk,"Learn Python in Under 3 Hours | Variables, For Loops, Web Scraping + Full Project",2024-10-15 12:01:10+00:00,41908,1233,41,0.029421590149852,2024
OT1RErkfLNQ,Learn SQL Beginner to Advanced in Under 4 Hours,2024-10-08 12:00:27+00:00,542472,13000,501,0.023964370511289,2024
rxyLC247h6E,AWS Quicksight | AWS Essentials,2024-10-01 12:00:58+00:00,17686,271,9,0.0153228542349881,2024
AycpRKyRagE,AWS Glue DataBrew and Glue | AWS Essentials,2024-09-24 12:00:16+00:00,8275,151,12,0.0182477341389728,2024
